headline_text,category
BRIEF-Zoneco Group to set up sales JV,3
BRIEF-Chorokbaem Media signs contract worth 12.02 bln won,3
BRIEF-KB Financial Group buys 6.5 pct stake in KB Insurance,3
FTSE kicks off 2017 on a record high,3
Hong Kong stocks start 2017 firmer,3
BRIEF-Hainan HNA Infrastructure Investment Group unit to sell investment firm at 257.6 mln yuan,3
BRIEF-Zhejiang Dong Ri to set up JV to invest in agricultural fund,3
Inflation prospects push German bond yields off two-month lows,3
Rajkot Oilseeds Complex Open- January 03,3
Rajkot Castor seeds Futures Open- January 03,3
UPDATE 1-China steel rebar ekes out gains as smog descends,3
Oman seeks banks' proposals for dual-tenor international bond issue -sources,3
UPDATE 1-Trump aware of 'urgency' of North Korea nuclear threat - South Korea,0
BRIEF-Pusan Cast Iron to issue second series bonds with warrants worth 5 bln won,3
China steel rebar ekes out gains as smog descends,3
Alpine skiing-Former Olympic champion Vuarnet dies - report,1
UPDATE 1-Vietnam Airlines shares soar 40 pct on debut,3
European prompt power prices volatile on wind,3
Djokovic recovers from slow start to begin year with win in Doha,1
RPT-Britain avoids M&A collapse as foreign buyers go Brexit bargain hunting,4
BRIEF-Ebest Investment & Securities buys 5.1 pct stake in Ktb Special Purpose Acquisition Company 2,3
UPDATE 3-Cricket-Australia run rampant after Warner's record ton,1
Alpine skiing - Former Olympic champion Vuarnet dies - report,1
BRIEF-Jiangsu Bicon Pharma's unit to acquire stake in pharma firm for up to 200 mln yuan,5
BRIEF-Mico says conversion of 10th series convertible bonds into shares,3
BRIEF-Elbit Systems awarded from Rafael two contracts for $35 million,3
BRIEF-Oriola-KD and SOBI start cooperation in Finland,3
BRIEF-Ebest Investment & Securities buys 5.5 pct stake in SK No.3 Special Purpose Acquisition,3
BRIEF-DCH Holdings announces retirement of CEO,3
Indonesia sells 15 trln rupiah bonds at auction,3
Breakingviews predicts a shaken-up world in 2017,4
BRIEF-Comptel receives EUR 2.6 million order in Middle East,3
CRISIL ratings for Indian debt instruments-Jan 3,3
German unemployment falls more than expected in December,4
BRIEF-Wolong Real Estate to buy stake in network technology firm for 108.5 mln yuan,3
BRIEF-Petro Rio says to acquire additional interest in Brasoil,3
Deputy leader of Libya's U.N.-backed government resigns,4
Hong Kong November retail sales fall for 21st straight month,3
Italy's 5-Star Movement unveils ethics code,4
TABLE-Indonesia sells 15 trillion rupiah bonds at auction,3
BRIEF-Kesko starts cooperation negotiations concerning 259 employees,4
BRIEF-TalkPool AG acquires Belgium based Technetix NV,3
India's BSE exchange gets market regulator's clearance for IPO,3
FOREX-Dollar back on trend,3
BRIEF-Fullshare says chairman Ji Changqun enters into agreement with co's unit,3
BRIEF-Bank of Japan to extend loan support program for lenders another year - Nikkei,3
BRIEF-Tecnocom signs collaboration deal in travel reservations business,6
BSE gets SEBI's clearance for IPO,3
China tightens Tibetan border security to combat 'separatism',3
BRIEF-China's Changan recalls 185,4
Suicide bombers attack two police stations in Iraq's Samarra - sources,4
BRIEF-General Biologicals sets new share issue record date as Feb. 22,3
BRIEF-Lakshmi Vilas Bank approves 1.68 bln rupees equity issue to qualified institutional buyers,3
Cricket-Williamson,1
Israeli police quiz Netanyahu over gifts,4
ASIA CREDIT CLOSE - Credits make positive start as Yingde Gas rebounds,3
Williamson,1
Sri Lanka's 2017 economic growth to be 5.5-6.0 pct - c.bank chief,3
Soccer-Defensive errors pulling down Stoke,1
RPT-Women's rights face a daunting new year worldwide,4
RPT-From DNA to laws to data,4
Indian Sugar Prices-Mumbai - Jan 03,3
Defensive errors pulling down Stoke,1
BRIEF-Heineken Malaysia says Tan Sri Saw Choo Boon retires as chairman,1
BRIEF-IL&FS Investment Managers acquires controlling stake of IL&FS Infra Asset Management,3
Cricket-Australia's turtle Renshaw learns not to chase the bull,1
Dubai Financial Market planning to allow short-selling,3
REFILE-UPDATE 1-Man dies in police shooting incident in northern England,4
BRIEF-Huawen Media Investment unit to transfer 5.4 pct stake in beijing tech firm for 12 mln yuan,3
BRIEF-Matse Holding - December monthly sales up 38 pct,3
Sri Lanka's 2017 economic growth to be 5.5-6.0 pct - central bank chief,3
Soccer-Vertonghen backs Pochettino to halt Chelsea's winning run,1
Australia's turtle Renshaw learns not to chase the bull,1
RPT-TABLE-India Commercial Papers dealt-Jan 2,3
'Selfie' video shows alleged Istanbul attack gunman,4
Australia run rampant after Warner's record ton,3
Hurry-up Warner delivers in record fashion,3
Christmas message leads to death threats,4
BRIEF-Hubei Radio & Television Information Network to set up network tech JV with partner,3
China probes former top aviation official for graft,4
North Korea's claim on ICBM test plausible - experts,4
At least 100 homes burned as fire erupts in Valparaiso,4
Bangladesh inflation cools for second straight month in December,3
Preview - Jazz at Nets,1
UPDATE 1-Venezuela issues $5 billion to state-run bank -source,3
Vertonghen backs Pochettino to halt Chelsea's winning run,1
Napoli sign striker Pavoletti from Genoa,1
Sterling hits 2-week high vs euro after strong manufacturing PMI,3
Venezuela issues $5 billion to state-run bank - source,3
BRIEF-NMDC Ltd says price of lump ore at 2,3
BRIEF-ISR Capital announces cessation of chief executive officer,3
BRIEF-Bharti Airtel offers free data for 12 mths to customers who switch to Airtel 4G,3
Istanbul's Reina club still closed after attack,4
GLOBAL MARKETS-Dollar,3
Norway current-week salmon price eases to around NOK 75 -sources,3
BRIEF-Deutsche Grundstuecksauktionen - a total of 1,3
Turkish PM says expects new U.S. administration to stop giving weapons to YPG militia,4
UPDATE 1-France follows in Poland's slipstream with inaugural Green bond,4
Migrants in U.S.,0
New U.S. Congress prepares to undo Obamacare,0
Exclusive - Brazil's Renova to sell wind farm for up to $214 million,3
TABLE-India cenbank says repo bids fall to 15.20 bln rupees,3
BRIEF-MCE Holdings says unit signs MOU with Sandhar Technologies,3
Israel's Electra buys mobile phone operator Golan for $91 mln,3
BRIEF-Vivocom Intl accepts LOAs from Oriental Mace and Udaran,3
India sugar mills shut early as drought hits cane crop - trade body,3
Israel's Electra buys mobile phone operator Golan for $91 million,3
BRIEF-First Credit Finance Group updates on provision of financial assistance,3
Trump says Chicago must seek U.S. help if no progress cutting murders,0
BRIEF-Moody's forecasts continued tepid prices for global oil and gas industry in 2017,3
SE Asia Stocks-Vietnam rises over 1 pct,3
BRIEF-Isuzu Motors To Spend 9 bln Yen on new logistics and maintenance facilities - Nikkei,3
Indian shares rise Bharti Airtel falls,3
BRIEF-China Aoyuan Property Group updates on unaudited contracted sales performance for year,3
BRIEF-HengAn International says Li Wai Leung has been appointed as deputy chief financial officer,3
Murders in notoriously violent El Salvador drop 20 percent in 2016 - police,4
BRIEF-Bavarian Nordic ups forecast for 2016 year-end cash preparedness,3
BRIEF-Hangzhou Liaison Interactive plans media-related investment,3
BRIEF-Investor Aberdeen says to oppose reelection of Sports Direct chairman,1
BRIEF-Shanghai Pudong Bank's preliminary 2016 net profit up 4.9 pct,3
Sugar mills shut early as drought hits cane crop - trade body,3
BRIEF-Philippines' BDO Unibank prices stock rights offer at 83.75 pesos/share,3
China regulator sets rules to curb property insurance products risk,3
Global banking regulators postpones approval of new rules,3
BRIEF-Intersport Polska Dec. 2016 revenue down 9.7 pct YOY,3
BRIEF-Zhengzhou Yutong Bus' vehicle sales up 5.9 pct in 2016,3
Soccer-West Brom will spend wisely during January transfers - Pulis,1
BRIEF-Associated Bank announces leadership changes,3
BRIEF-First Resources says Nov FFB harvested 289,3
BRIEF-Gemdale's Dec contract sales down 18 pct,3
Intel seeking indirect stake in mapping firm HERE - German cartel office,6
Moroccan central bank approves five Islamic banks,3
BRIEF-Sinocare's controlling shareholder sold 1.03 pct stake in the company,3
China to hike power prices for outdated steel equipment - state planner,4
Polish copper firm KGHM should keep its foreign assets - minister,3
UPDATE 1-Bangladesh inflation cools for second straight month in December,3
Cured meats linked to worsening asthma symptoms,5
Soccer-Conte warns in-form Chelsea of 'biggest test' against Tottenham,1
PRECIOUS-Gold slips as strong dollar keeps up pressure on prices,3
Gunman in Istanbul nightclub attack may have trained in Syria,4
BRIEF-Shanghai Jahwa United's unit to halt renewal of agreement with Kao's Shanghai unit,3
UPDATE 2-Smog returns,4
BRIEF-Harbin Dongan Auto Engine's engine sales up 101.3 pct in 2016,3
BRIEF-Liberty Interactive LLC announces quarterly interest payment,3
Preview - Bruins at Devils,1
BRIEF-Wah Seong Corporation Bhd says unit entered into a joint venture agreement,3
Smog returns,4
Inflation prospects,3
Millennial princes snatch at power in Gulf,4
BRIEF-Bank Of Chongqing Co updates on establishment of a financial leasing company,3
RPT-CRISIL ratings for Indian debt instruments-Jan 2,3
BRIEF-Shanghai New Culture's unit to acquire 40 pct stake in Premium Data Associates,3
BRIEF-China Jialing Industrial posts motorcycle sales for Dec and 2016,3
EMERGING MARKETS-Turkish lira at new record low on inflation,3
Preview - Pelicans at Cavaliers,1
BRIEF-Kitchen Culture Holdings enters into subscription agreement,3
BRIEF-SAIC Motor's vehicle sales up 10.1 pct in Dec,3
Preview - Thunder at Bucks,1
BRIEF-North China Pharmaceutical gets regulatory approval for bonds issue,5
Preview - Avalanche at Canucks,1
Preview - Nuggets at Warriors,1
Preview - Magic at Knicks,1
New Republican-led U.S. Congress lays groundwork for Trump era,0
Sensex rises Bharti Airtel falls,3
BRIEF-Bison Consolidated Bhd says Dang Tai Luk has been redesignated as CEO,3
BRIEF-Megalogic Technology says substantial shareholder plegdes shares of co,3
Former Bosnia captain Spahic released by Hamburg SV,1
Japan representative to Taiwan says bilateral ties at their 'best',4
BRIEF-Guangzhou R&F Properties says group's Dec contracted sales amounted to about RMB4.73 billion,3
UPDATE 1-Moroccan central bank approves five Islamic banks,3
Cricket-De Kock century lifts South Africa to 392,1
EXCLUSIVE - Trump team seeks agency records on border barriers,0
Australia shares set for a cautious start to 2017,3
BRIEF-American Gilsonite Co announced that it has completed its financial restructuring,3
BRIEF-Yuexiu Real Estate Investment Trust issues 64.9 mln units,3
Sterling quarterback crop lead way into the playoffs,3
BRIEF-Hareon Solar Technology unit to set up investment units,6
BRIEF-Southwest Gas completes holding company reorganization,3
West Brom will spend wisely during January transfers - Pulis,1
BRIEF-HC Surgical Specialists updates on JV agreement,5
BRIEF-Marathon Petroleum Corp provides update on strategic actions,3
UPDATE 1-Argentina decrees telecoms rule changes to increase competition,4
Women's rights face a daunting new year worldwide,4
BRIEF-Contravir awarded grant from Canada's National Research Council,3
BRIEF-SM Energy announces sale of non-operated eagle ford assets for $800 mln,3
BRIEF-Momenta Pharmaceuticals enters into agreement with Richard Shea to provide post-retirement consulting services to in connection with CFO transition,5
BRIEF-Ciber Inc entered into amendment with Wells Fargo Bank NA,3
BRIEF-Eminence Enterprise entered into placing agreement,3
BRIEF-Clean Diesel Technologies files for offering of common stock up to 6.23 mln shares,3
Kyrgyz security service checking reports Kyrgyz national involved in Istanbul attack,4
BRIEF-Clearlake Capital to buy LANDESK,3
BRIEF-Origin Agritech,6
CORRECTED-UK manufacturing growth unexpectedly hits 2-1/2-year high - PMI,3
Few people seen selling yuan for dollars on first day of China's forex quota re-set,3
Islamic State kills 24 with Baghdad car bomb,4
Autonomous aircraft that goes where no helicopter dares,4
U.S. general sees Islamic State's capability waning in east Mosul,0
BRIEF-Jacobs Engineering received notice of arbitration from Motiva,3
BRIEF-Sprague Resources LP to acquire natural gas and electricity business from Global Partners LP,3
Tarasenko,4
EU mergers and takeovers (Jan 3),3
BRIEF-Clearlake Capital and Vector Capital submitted non-binding indication of interest to Tangoe Inc,3
BRIEF-Grieg Seafood sees Q4 hit from disease,5
Life-extending capacity of new cancer drugs varies widely,5
Germany midfielder Draxler joins PSG from Wolfsburg,1
BRIEF-Shenzhen Ideal Jewellery's share trade to halt from Jan 4 pending announcement,3
Factbox - Brazil's history of violent prison uprisings,4
BRIEF-Master Chemicals appoints Subash Raju Kanumuri as CFO,5
BRIEF-Indiabulls Housing Finance cuts home loan rates by 45 bps,3
UPDATE 1-UK manufacturing growth unexpectedly hits 2-1/2-year high - PMI,3
BRIEF-BPER says no withdrawal request made ahead of change into joint-stock company,3
BRIEF-Wolfden acquires the Orvan Brook in the Bathurst Mining Camp,4
India FIMMDA-Thomson Reuters-MIOIS for six mths 6.22 pct,3
India FIMMDA-Thomson Reuters-MIOCS for 3 years 6.28 pct,3
BRIEF-White Eagle Life Settlement subsidiary has amended its 15-year revolving credit facility,3
BRIEF-Renesola signs framework agreement to develop 335 mw of rooftop projects,3
BRIEF-Energous agreed to sell 292,6
BRIEF-Inditrade Capital says step down unit to divest stakes in Edelweiss Commodities Chad SARL,3
BRIEF-Corporation Bank sets overnight MCLR at 8.35 pct,3
BRIEF-Johnson & Johnson announces quarterly dividend for Q1 2017,3
BRIEF-Allete Clean Energy plans expansion of North Dakota wind farm,6
UPDATE 1-New U.S. Congress prepares to undo Obamacare,0
BRIEF-Sichuan Airlines signs agreement to lease new airbus A350-900 aircraft from Air Lease Corp,3
Civilians flee Mosul as operation to retake city continues,4
India Money Market Rates-Jan 3,3
BRIEF-Ardelyx announces initiation of two clinical trials for RDX7675 for treatment of Hyperkalemia,5
Factbox - Why polio is proving so hard to beat,5
FACTBOX - Why polio is proving so hard to beat,5
BRIEF-Clovis Oncology announces proposed offering of common stock,5
BRIEF-Landsea Green Properties' unit enters into agreement with Hangzhou Hongbao Electric Fuel,3
BRIEF-Staffing 360 Solutions sees Q2 revenue of $47 mln,3
BRIEF-Uniqa Insurance Group to sell indirect stake in Casinos Austria to Came Holding,3
Cuba puts on show of strength as Trump inauguration nears,0
East Libya strongman says no talks planned with rival in west -paper,4
UPDATE 2-LSE sells clearing business to Euronext in bid to win merger approval,3
BRIEF-Ramkrishna Forgings gets registration certificate for in-house R&D unit(s) of Thana plant,3
India FIMMDA-Thomson Reuters-MIFOR for six mths 5.79 pct,3
Video emerges of alleged gunman in Turkey attack,4
LSE sells clearing business to Euronext in bid to win merger approval,3
UPDATE 1-Mozambique's opposition extends ceasefire to aid peace talks,4
BRIEF-Hikal ltd concludes sale of research and development center in Bangalore,3
SM Energy to sell some Eagle Ford assets for $800 mln,3
Twitter China head Kathy Chen leaves company,4
BRIEF-Tallgrass Energy Partners acquires Tallgrass Terminals,3
BRIEF-Williams Partners' Atlantic sunrise project receives Federal Energy Regulatory Commission's final environmental impact statement,4
BRIEF-Wuhan Sante Cableway scraps asset acquisition plan,6
SM Energy to sell some Eagle Ford assets for $800 million,3
BRIEF-Lucas Energy enters the Permian Basin with the purchase of 3,6
Off-duty officer shoots,4
TABLE-India Commercial Papers dealt-Jan 3,3
UPDATE 3-Investigators question Israel's Netanyahu over alleged receipt of gifts,4
BRIEF-Zhonghong Holding's unit wins land auctions,3
Investigators question Israel's Netanyahu over alleged receipt of gifts,4
BRIEF-India cenbank sets 6.24 pct cut-off rate at 9 day variable rate reverse repo auction,3
BRIEF-Mapletree Greater China Commercial Trust's unit enters into facility agreement,3
Argentines declare $97.8 billion in tax amnesty - government,3
Gardner helps No. 17 Florida rout Iowa in Outback Bowl,1
BRIEF-Vitec moves from Small Cap to Mid Cap on Nasdaq Stockholm,3
BRIEF-India cenbank sets cut-off rate of 6.23 pct at overnight variable rate reverse repo auction,3
BRIEF-Xtep International Holdings entered into a facility agreement,3
Darts - Dutchman Van Gerwen claims second world crown,1
Syrian rebels say they froze talks on Russian-backed peace conference due to ceasefire violations,4
BRIEF-Seamec Ltd MD C.J. Rodricks resigns,3
East Libya strongman says no talks planned with rival in west - paper,4
Motor racing-Pertamina drops sponsorship for F1 driver Haryanto,1
Pertamina drops sponsorship for F1 driver Haryanto,1
EMERGING MARKETS-Brazil real weakens,3
BRIEF-Sat Industries incorporates unit Italica Global FZC in UAE,3
BRIEF-China Merchants Land says Chan Wing Yan resigned as company secretary,3
India's Bharti offers free data,4
Inotek's treatment for glaucoma misses main goal in late-stage study,5
Steel ministry seeks lower import taxes on key raw materials,3
BRIEF-Aier Eye Hospital's unit to buy 75 pct stake in U.S. firm,3
BRIEF-Australia And New Zealand Banking agrees to sell stake in Shanghai Rural Commercial Bank,3
ANZ bank sells 20pct stake in Shanghai Rural Commercial Bank for $1.3 bln,3
BRIEF-Anavex Life Sciences obtains permanent dismissal of all claims in securities lawsuit,5
BRIEF-Soligenix announces extension of development agreement with Emergent Biosolutions,5
BRIEF-Bank Al Etihad completes acquisition of 13 pct stake in Jordan Dubai Islamic Bank,3
BRIEF-Tonix Pharmaceuticals Holding says intends to commence 12-week phase 3 honor study 5.6 mg in military-related ptsd,5
Bharti offers free data,4
BRIEF-Akari Therapeutics reports FDA allowance of IND for clinical development of coversin in pnh,5
BRIEF-Anaconda mining announces resignation of Chief Financial Officer,3
BRIEF-Punjab & Sind Bank cuts overnight MCLR to 8.60 pct,3
BRIEF-Voyager Therapeutics appoints Jane Pritchett Henderson as cfo,5
Rajkot Oilseeds Complex Close- January 03,3
Rajkot Castor seed Futures Close- January 03,3
BRIEF-Enter Air reaches air charter deal with Rainbow Tours for about $32.8 mln,3
BRIEF-Zuari Global says co unit and Indian Furniture Products incorporates new co,3
CANADA STOCKS-Futures rise as oil jumps over 2 pct,3
Black Monday brings golden opportunities,3
BRIEF-Concordia International Corp entered into a three-year agreement with Redhill Biopharma Ltd.,5
BRIEF-Moil Ltd hikes prices of various grades of manganese ore from Jan 1,3
BRIEF-Ruby Tuesday entered into waiver relating to its four-year revolving credit agreement,3
Dog fight - Start-ups take aim at errant drones,3
US STOCKS-Futures kick off new year on a high as oil surges,3
BRIEF-Bodhtree Consulting gets members' nod to appoint Lakkimsetti Naga Ramakrishna as MD,3
BRIEF-Emerchants signs agreement with McMillan Shakespeare Ltd,3
Man suspected of stealing Army Reserve weapons escapes Rhode Island jail,4
TABLE - Karachi Cotton Association Prices,3
East India Cotton association Prices - January 03,3
BRIEF-Plukka says existing director Andrew Worland has agreed to chair company,3
BRIEF-Zynerba Pharmaceuticals announces initiation of FAB-c exploratory Phase 2 clinical trial,5
BRIEF-Ormat Technologies Inc says initial consideration for acquisition is $35 mln,3
BRIEF-Nevsun appoints two new directors and announces 2017 CEO succession plan,3
More than 100 migrants rescued off Libyan coast,4
Morocco picks financial and legal advisers for LNG import plan,3
BRIEF-Biotime and subsidiary cell cure neurosciences establish innovative cell therapy,5
BRIEF-Engineers India approves bonus issue in 1 - 1 ratio,3
BRIEF-Ossen Innovation Special Committee retains financial advisor to evaluate proposed transactions,3
BRIEF-Capstone Infrastructure Corp appoints David Eva as CEO,3
BRIEF-Allergan announces FDA approval of Natrelle Inspira softtouch breast implants,5
BRIEF-Capstone infrastructure corporation announces appointment of David Eva as CEO,3
BRIEF-Egyptian Exchange says Egyptian Gulf Bank applies for listing of capital increase,3
BRIEF-Changshu Automotive Trim's share trade to debut on Jan 5 in Shanghai,3
BRIEF-Shanghai Beite Technology's share trade to resume on Jan 4,3
Trump threatens 'big border tax' on GM over Chevy Cruze production,0
BRIEF-J&J Snack Foods acquires Hill & Valley Premium Bakery,0
Marathon Petroleum explores spin-off for retail business Speedway,3
BRIEF-Arotech appoints Dean Krutty as acting CEO,3
BRIEF-Dermira initiates Phase 3 clinical program in acne,5
BRIEF-Marinus Pharmaceuticals receives FDA orphan drug designation for Ganaxolone to treat Fragile X Syndrome,5
BRIEF-Bank of India sets overnight MCLR at 8.10 pct from Jan 7,3
BRIEF-Protalix Biotherapeutics announces positive interim results from phase II clinical trial of Alidornase Alfa,5
Refiner Delek to buy rest of Alon USA in $868 mln deal,3
BRIEF-Alon USA to pay Delek $15 million termination fee if deal falls apart,3
BRIEF-Veer Energy & Infra to consider allotment of equity shares,6
Trump on North Korea ICBM - 'It won't happen!',0
BRIEF-Delek US Holdings -upon termination of merger agreement co to pay ALON a termination fee of $20 million,3
BRIEF-Abeona Therapeutics receives orphan drug designation in the EU for ABO-201 gene therapy program,5
Cave bacteria could lead to new antibiotics,5
Sri Lankan rupee ends down,3
Migrants protest at Italy centre after young woman dies,4
NSE Wholesale Debt Market Trades-Jan 3,3
BRIEF-FDA grants PMA approval for Hologic's Aptima HIV-1 quant assay,5
Global PMIs boost 2017 manufacturing hopes,3
Australian home prices boast best year since 2009,4
BRIEF-Hyundai collaborates with Google assistant in further connecting homes to cars,6
BRIEF-Teligent announces fda approval for three abbreviated new drug applications,5
TABLE-India Certificates of Deposit deals on F-TRAC-Jan 3,3
BRIEF-Inotek announces top-line results for MATRX-1,6
BRIEF-Nexpoint Residential Trust announces opportunistic portfolio acquisition in Houston,3
TABLE-India Commercial Papers deals on F-TRAC-Jan 3,3
BRIEF-Eiger announces first patient dosed in open-label extension of phase 2 liberty study of ubenimex,6
ANZ sells Shanghai Rural stake for $1.3 billion,3
BRIEF-Just energy group announces credit agreement capacity increase of $50 million,3
TVH raises Lavendon offer to slightly above offer from Loxam,3
BRIEF-Axsome therapeutics receives FDA clearance of IND for Phase 2/3 trial of AXS-05,5
BRIEF-Terago announces amalgamation of its wholly-owned subsidiaries,3
BRIEF-Iradimed announced first shipments of its MRI compatible monitoring system,3
BRIEF-Biox issues new bridge note,3
Oil up,3
BRIEF-Cellect names Eyal Leibovitz as chief financial officer,3
BRIEF-India's Paytm gets RBI nod to formally launch payments bank,3
UPDATE 2-Approval of banking rules postponed after disagreement over capital,3
Approval of banking rules postponed after disagreement over capital,3
BRIEF-Admiralty Partners says an affiliate has acquired GE's Santa Ana operations,4
BRIEF-Ascletis raises us$100 mln in series B financing,3
BRIEF-Proterra secures $140 mln in series 5 funding for capacity expansion and product development,3
BRIEF-Tracon Pharmaceuticals receives special protocol assessment agreement from FDA,5
Tips from Spain's centenarians on how to live to 100,2
TABLE-Indian Corporate Bonds dealt-Jan 3,3
BRIEF-Arkive reports acquisition of assets from Iron Mountain Incorporated,3
Sri Lanka shares end at 9-month low,3
BRIEF-Golden Predator Mining reports acquisition of mineral claims,3
2017's award seasons kicks off in Palm Springs,1
Police in India's tech hub urged to investigate New Year attacks on women,4
U.S. judge rules South Carolina church gunman can act as own lawyer,0
Argentina treasury minister to propose broad tax reform - La Nacion,3
BRIEF-Blackstone to acquire Tradesman International,3
Leaving war behind,4
BRIEF-Covalon CEO provides update on anticipated fiscal 2017 financial growth,3
BRIEF-Xerox says completes separation of Conduent,5
Trump says China 'won't help' with North Korea,0
UPDATE 2-Fincantieri's bid for STX France approved by S. Korean court,3
Fincantieri's bid for STX France approved by South Korean court,3
Four children die in Texas after chemical gas poisons home,4
BRIEF-Cosco Shipping Development says CBRC granted approval for acquisition of shares in China Bohai Bank,3
UK grocery prices up in December but still below 2015-report,3
GLOBAL MARKETS-Dollar,3
REFILE-BRIEF-Interpace Diagnostics announces agreement with Blue Cross Blue Shield,3
Dubai mortgage lender Amlak renegotiates part of 2014 debt deal,3
FACTBOX-Brexit impact on British consumers,4
BRIEF-Kite Pharma submitted an investigational new drug application with FDA,5
Corrected - WIDER IMAGE - Tips from Spain's centenarians on how to live to 100,2
Police in Bengaluru urged to investigate New Year attacks on women,4
BRIEF-China Finance Investment terminates acquisition of Elite One International,3
BRIEF-Chapter IV investors urges EQT board for a potential merger with Antero Resources or Range Resources,3
BRIEF-SG Spirit Gold board initiated a review of potential acquisition opportunities,3
Forced far from home,2
Romania's leftist Social Democrats name ministers in new government,4
BRIEF-Myokardia says Sanofi has notified company that it has elected to continue global cardiomyopathy research collaboration,3
BRIEF-Allot Communications names Erez Antebi as CEO,6
BRIEF-Henry Group responds to media enquiry on possible change in control of company,3
BRIEF-Renaissancere holdings ltd says formation of Fibonacci Reinsurance Ltd,3
BRIEF-Tribune Media reports $500 million special dividend,3
BRIEF-AAM names Donald Wright vp and cio,0
BRIEF-Finjan Holdings Inc closed a patent license agreement with F5 networks,3
BRIEF-PNG Gold Announces Extension to Forbearance Agreement with VeroLube,3
BRIEF-Allot Communications sees Q4 revenue $23 mln to $24 mln,3
BRIEF-Glenmark pharmaceuticals receives FDA clearance of Ind for GBR 1302-beat phase I trial,5
Irish foreign investment head sees firms' Brexit decisions starting in Q2,4
Two foreign nationals detained at Istanbul airport over nightclub attack - NTV,4
BRIEF-Tangoe confirms receipt of acquisition proposals,3
BRIEF-Kopin enters into strategic relationship with Goertek,3
BRIEF-Viad entered into credit agreement for a $38 mln revolving credit facility,3
BRIEF-Edgewater board of directors has set close of business on January 11,3
BRIEF-Montana-Dakota Utilities signs agreement to purchase power from wind farm expansion,3
BRIEF-Sito Mobile announces preliminary media placement revenue results for 4th quarter,6
BRIEF-China New Town Development updates on fixed income investment portfolio,3
China begins first freight train service to London - Xinhua,6
US STOCKS-Wall St set for big gains on first trading day of 2017,3
BRIEF-Evonik to achieve $80 mln annual synergies from Air Products deal,3
BRIEF-Mingfa Group updates on recent development of suspension of trading,3
Civilians flee Mosul as operation to retake the city continues,4
BRIEF-Ford CEO to conduct news conference at Michigan plant on Tuesday,6
BRIEF-India to sell 500 bln rupees of MSS bonds on Jan 4 - cenbank,3
BRIEF-LiCo Energy enters into letter of intent to acquire lithium exploitation concession in Chile's lithium triangle,6
BRIEF-RBI appoints Surekha Marandi as new executive director,3
BRIEF-Camping World solidifies number one position in the state of Georgia with signing of significant acquisition,4
Oil prices rise as markets eye OPEC,3
Revamp of South Africa's largest city leaves poor battling for housing,4
BRIEF-Berentzen-Gruppe announces future change in executive board,3
BRIEF-Indian cenbank to conduct reverse repo auction for INR 500 bln,3
German minister eyes police overhaul after Christmas market attack,4
UPDATE 2-Inotek's glaucoma treatment fails late-stage study,5
Strong German inflation good news for ECB,3
BRIEF-Mannkind receives $1 mln milestone from RLS,3
BRIEF-General Motors says all Chevrolet Cruze sedans sold in U.S. are built in Lordstown,6
BRIEF-Shanghai Fosun Pharmaceutical announces appointment of co-chairman,5
BRIEF-Shenzhen Worldunion's property sales through agency at 510.8 bln yuan as of end-2016,3
BRIEF-VolitionRx Limited's novel cancer diagnostic test achieves CE marking,5
BRIEF-ATSG subsidiary airborne maintenance and engineering services to acquire PEMCO World Air Services,6
BRIEF-SensoDetect - patents granted in China,6
BRIEF-Entravision Communications announces partial debt payment,6
BRIEF-Speedy Global Holdings applied for resumption of trading in shares with effect from Jan. 4,3
Sri Lanka c.bank chief Coomaraswamy says defending rupee not 'sensible',3
New Congress prepares to undo Obamacare,0
PRESS DIGEST- British Business - Jan 3,3
BRIEF-Dryships announces closing of $200.0 mln new sifnos revolving facility,3
BRIEF-PCM acquires Stratiform,4
Debate over race and policing roils start of German election year,4
New year,2
BRIEF-Dynex Power says CEO Paul Taylor is stepping down,6
Hanks,2
Strong Danish crown to keep central bank alert in 2017 - Danske,3
BRIEF-Amnis Therapeutics starts its first clinical trial with its neuro thrombectomy device,5
UPDATE 2-Trump names China critic Lighthizer as U.S. trade representative,0
BRIEF-DISH and Amazon deliver Alexa voice control on hopper DVR,6
Singapore Q4 private home prices -0.4 pct q/q - housing authority,3
BRIEF-China Maple Leaf says Howard Robert Balloch appointed as non-executive vice chairman of board,0
BRIEF-Mattersight appoints David Mullen as new CFO,3
Reuters Select - When Samsung bet on the wrong horse,6
Ifo urges end to ECB bond buys if eurozone inflation hits German level,3
BRIEF-Delta Technology Holdings limited signs supply contract with large Chinese manufacturer,6
UK royal Kate given photographic society's seal of approval,4
BRIEF-Actinogen Medical receives FDA approval to commence alzheimer's disease clinical trial,5
BRIEF-Asure Software Sees FY 2017 revenue $45 mln to $47 mln,3
France to launch inaugural 'green' bond this month,4
Nigeria to close capital's airport for 6 weeks from 8 March,4
China navy confirms carrier conducted drills in South China Sea,4
BRIEF-Industrial Bank of Taiwan changes name to O-Bank Co Ltd,3
BRIEF-Aon Hewitt Consulting announces leadership change in greater China,3
BRIEF-Guangxi Hechi Sinomine's shares to halt trade,3
BRIEF-Henry Group Holdings says trading in shares of will be halted,3
Israel's 'flying car' passenger drone moves closer to delivery,4
US STOCKS SNAPSHOT-Wall St opens higher 000,3
BRIEF-Speedy Global says trading in shares of co will be halted,3
